X;CountryCode;RegionCode;Region
Afghanistan;AFG;OAS;IA
Aland Islands;ALA;EUR;EU
Albania;ALB;NEU;EE
Algeria;DZA;MEA;AF
American Samoa;ASM;OAS;
Andorra;AND;NEU;
Angola;AGO;SSA;AF
Anguilla;AIA;LAM;
Antarctica;ATA;LAM;
Antigua and Barbuda;ATG;LAM;LA
Argentina;ARG;LAM;LA
Armenia;ARM;REF;EE
Aruba;ABW;LAM;
Australia;AUS;CAZ;OT
Austria;AUT;EUR;EU
Azerbaijan;AZE;REF;EE
Bahamas;BHS;LAM;LA
Bahrain;BHR;MEA;AF
Bangladesh;BGD;OAS;IA
Barbados;BRB;LAM;LA
Belarus;BLR;REF;EE
Belgium;BEL;EUR;EU
Belize;BLZ;LAM;LA
Benin;BEN;SSA;AF
Bermuda;BMU;LAM;
Bhutan;BTN;OAS;IA
Bolivia, Plurinational State of;BOL;LAM;LA
Bonaire, Sint Eustatius and Saba;BES;LAM;
Bosnia and Herzegovina;BIH;NEU;EE
Botswana;BWA;SSA;AF
Bouvet Island;BVT;LAM;
Brazil;BRA;LAM;LA
British Indian Ocean Territory;IOT;OAS;
Brunei Darussalam;BRN;OAS;IA
Bulgaria;BGR;EUR;EU
Burkina Faso;BFA;SSA;AF
Burundi;BDI;SSA;AF
Cambodia;KHM;OAS;CA
Cameroon;CMR;SSA;AF
Canada;CAN;CAZ;OT
Cape Verde;CPV;SSA;AF
Cayman Islands;CYM;LAM;
Central African Republic;CAF;SSA;AF
Chad;TCD;SSA;AF
Chile;CHL;LAM;LA
China;CHN;CHA;CA
Christmas Island;CXR;OAS;
Cocos (Keeling) Islands;CCK;OAS;
Colombia;COL;LAM;LA
Comoros;COM;SSA;AF
Congo;COG;SSA;AF
Congo, the Democratic Republic of the;COD;SSA;AF
Cook Islands;COK;OAS;
Costa Rica;CRI;LAM;LA
Cote d Ivoire;CIV;SSA;AF
Croatia;HRV;EUR;EE
Cuba;CUB;LAM;LA
Curacao;CUW;LAM;
Cyprus;CYP;EUR;EU
Czech Republic;CZE;EUR;EU
