countryname;country;region;superregion
Aruba;ABW;LAM;LAM
Afghanistan;AFG;OAS;OAS
Angola;AGO;SSA;SSA
Anguilla;AIA;LAM;LAM
Aland Islands;ALA;EUR;EUR
Albania;ALB;NEU;NEU
Andorra;AND;NEU;NEU
United Arab Emirates;ARE;MEA;MEA
Argentina;ARG;ARG;LAM
Armenia;ARM;REF;REF
American Samoa;ASM;OAS;OAS
Antarctica;ATA;LAM;LAM
French Southern Territories;ATF;OAS;OAS
Antigua and Barbuda;ATG;LAM;LAM
Australia;AUS;AUS;CAZ
Austria;AUT;EUR;EUR
Azerbaijan;AZE;REF;REF
Burundi;BDI;SSA;SSA
Belgium;BEL;EUR;EUR
Benin;BEN;SSA;SSA
Bonaire, Sint Eustatius and Saba;BES;LAM;LAM
Burkina Faso;BFA;SSA;SSA
Bangladesh;BGD;OAS;OAS
Bulgaria;BGR;EUR;EUR
Bahrain;BHR;MEA;MEA
Bahamas;BHS;LAM;LAM
Bosnia and Herzegovina;BIH;NEU;NEU
Saint Barthelemy;BLM;LAM;LAM
Belarus;BLR;REF;REF
Belize;BLZ;LAM;LAM
Bermuda;BMU;LAM;LAM
Bolivia, Plurinational State of;BOL;LAM;LAM
Brazil;BRA;BRA;LAM
Barbados;BRB;LAM;LAM
Brunei Darussalam;BRN;OAS;OAS
Bhutan;BTN;OAS;OAS
Bouvet Island;BVT;LAM;LAM
Botswana;BWA;SSA;SSA
Central African Republic;CAF;SSA;SSA
Canada;CAN;CAN;CAZ
Cocos (Keeling) Islands;CCK;OAS;OAS
China;CHN;CHA;CHA
Switzerland;CHE;NEU;NEU
Chile;CHL;LAM;LAM
Cote d Ivoire;CIV;SSA;SSA
Cameroon;CMR;SSA;SSA
Congo, the Democratic Republic of the;COD;SSA;SSA
Congo;COG;SSA;SSA
Cook Islands;COK;OAS;OAS
Colombia;COL;LAM;LAM
Comoros;COM;SSA;SSA
Cape Verde;CPV;SSA;SSA
Costa Rica;CRI;LAM;LAM
Cuba;CUB;LAM;LAM
Curacao;CUW;LAM;LAM
Christmas Island;CXR;OAS;OAS
Cayman Islands;CYM;LAM;LAM
Cyprus;CYP;EUR;EUR
Czech Republic;CZE;EUR;EUR
Germany;DEU;EUR;EUR
Djibouti;DJI;SSA;SSA
Dominica;DMA;LAM;LAM
Denmark;DNK;EUR;EUR
Dominican Republic;DOM;LAM;LAM
Algeria;DZA;MEA;MEA
Ecuador;ECU;LAM;LAM
Egypt;EGY;MEA;MEA
Eritrea;ERI;SSA;SSA
Western Sahara;ESH;MEA;MEA
Spain;ESP;EUR;EUR
Estonia;EST;EUR;EUR
Ethiopia;ETH;ETH;SSA
Finland;FIN;EUR;EUR
Fiji;FJI;OAS;OAS
Falkland Islands (Malvinas);FLK;LAM;LAM
France;FRA;EUR;EUR
Faroe Islands;FRO;EUR;EUR
Micronesia, Federated States of;FSM;OAS;OAS
Gabon;GAB;SSA;SSA
United Kingdom;GBR;EUR;EUR
Georgia;GEO;REF;REF
Guernsey;GGY;EUR;EUR
Ghana;GHA;SSA;SSA
Gibraltar;GIB;EUR;EUR
Guinea;GIN;SSA;SSA
Guadeloupe;GLP;LAM;LAM
Gambia;GMB;SSA;SSA
Guinea-Bissau;GNB;SSA;SSA
Equatorial Guinea;GNQ;SSA;SSA
