X;CountryCode;RegionCode
Aruba;ABW;CSA
Afghanistan;AFG;SAS
Angola;AGO;SSA
Anguilla;AIA;CSA
Aland Islands;ALA;EUR
Albania;ALB;EUR
Andorra;AND;EUR
United Arab Emirates;ARE;MEN
Argentina;ARG;CSA
Armenia;ARM;RCA
American Samoa;ASM;JKO
Antarctica;ATA;CSA
French Southern Territories;ATF;JKO
Antigua and Barbuda;ATG;CSA
Australia;AUS;JKO
Austria;AUT;EUR
Azerbaijan;AZE;RCA
Burundi;BDI;SSA
Belgium;BEL;EUR
Benin;BEN;SSA
Bonaire, Sint Eustatius and Saba;BES;CSA
Burkina Faso;BFA;SSA
Bangladesh;BGD;SAS
Bulgaria;BGR;EUR
Bahrain;BHR;MEN
Bahamas;BHS;CSA
Bosnia and Herzegovina;BIH;EUR
Saint Barthelemy;BLM;CSA
Belarus;BLR;RCA
Belize;BLZ;CSA
Bermuda;BMU;CSA
Bolivia, Plurinational State of;BOL;CSA
Brazil;BRA;CSA
Barbados;BRB;CSA
Brunei Darussalam;BRN;SEA
Bhutan;BTN;SAS
Bouvet Island;BVT;CSA
Botswana;BWA;SSA
Central African Republic;CAF;SSA
Canada;CAN;NAM
Cocos (Keeling) Islands;CCK;JKO
China;CHN;CHN
Switzerland;CHE;EUR
Chile;CHL;CSA
Cote d Ivoire;CIV;SSA
Cameroon;CMR;SSA
Congo, the Democratic Republic of the;COD;SSA
Congo;COG;SSA
Cook Islands;COK;JKO
Colombia;COL;CSA
Comoros;COM;SSA
Cape Verde;CPV;SSA
Costa Rica;CRI;CSA
Cuba;CUB;CSA
Curacao;CUW;CSA
Christmas Island;CXR;JKO
Cayman Islands;CYM;CSA
Cyprus;CYP;EUR
Czech Republic;CZE;EUR
Germany;DEU;EUR
Djibouti;DJI;SSA
Dominica;DMA;CSA
Denmark;DNK;EUR
Dominican Republic;DOM;CSA
Algeria;DZA;MEN
Ecuador;ECU;CSA
Egypt;EGY;MEN
Eritrea;ERI;SSA
Western Sahara;ESH;MEN
Spain;ESP;EUR
Estonia;EST;EUR
Ethiopia;ETH;SSA
Finland;FIN;EUR
Fiji;FJI;JKO
Falkland Islands (Malvinas);FLK;CSA
France;FRA;EUR
Faroe Islands;FRO;EUR
Micronesia, Federated States of;FSM;JKO
Gabon;GAB;SSA
United Kingdom;GBR;EUR
Georgia;GEO;RCA
Guernsey;GGY;EUR
Ghana;GHA;SSA
Gibraltar;GIB;EUR
Guinea;GIN;SSA
Guadeloupe;GLP;CSA
Gambia;GMB;SSA
Guinea-Bissau;GNB;SSA
Equatorial Guinea;GNQ;SSA
Greece;GRC;EUR
Grenada;GRD;CSA
Greenland;GRL;EUR
Guatemala;GTM;CSA
French Guiana;GUF;CSA
Guam;GUM;JKO
Guyana;GUY;CSA
Hong Kong;HKG;CHN
Heard Island and McDonald Islands;HMD;JKO
Honduras;HND;CSA
Croatia;HRV;EUR
Haiti;HTI;CSA
Hungary;HUN;EUR
Indonesia;IDN;SEA
Isle of Man;IMN;EUR
India;IND;SAS
British Indian Ocean Territory;IOT;JKO
Ireland;IRL;EUR
Iran, Islamic Republic of;IRN;MEN
Iraq;IRQ;MEN
Iceland;ISL;EUR
Israel;ISR;MEN
Italy;ITA;EUR
Jamaica;JAM;CSA
Jersey;JEY;EUR
Jordan;JOR;MEN
Japan;JPN;JKO
Kazakhstan;KAZ;RCA
Kenya;KEN;SSA
Kyrgyzstan;KGZ;RCA
Cambodia;KHM;SEA
Kiribati;KIR;JKO
Saint Kitts and Nevis;KNA;CSA
Korea, Republic of;KOR;JKO
Kuwait;KWT;MEN
Lao People's Democratic Republic;LAO;SEA
Lebanon;LBN;MEN
Liberia;LBR;SSA
Libya;LBY;MEN
Saint Lucia;LCA;CSA
Liechtenstein;LIE;EUR
Sri Lanka;LKA;JKO
Lesotho;LSO;SSA
Lithuania;LTU;EUR
Luxembourg;LUX;EUR
Latvia;LVA;EUR
Macao;MAC;CHN
Saint Martin (French part);MAF;CSA
Morocco;MAR;MEN
Monaco;MCO;EUR
Moldova, Republic of;MDA;RCA
Madagascar;MDG;SSA
Maldives;MDV;JKO
Mexico;MEX;NAM
Marshall Islands;MHL;JKO
Macedonia, the former Yugoslav Republic of;MKD;EUR
Mali;MLI;SSA
Malta;MLT;EUR
Myanmar;MMR;SEA
Montenegro;MNE;EUR
Mongolia;MNG;CHN
Northern Mariana Islands;MNP;JKO
Mozambique;MOZ;SSA
Mauritania;MRT;SSA
Montserrat;MSR;CSA
