"ipcc";"ipcc_reduced";"ipcc_reduced2019"
"tropical_wet";"tropical_moist";"tropical_moist"
"tropical_moist";"tropical_moist";"tropical_moist"
"tropical_dry";"tropical_dry";"tropical_dry"
"cool_temperate_dry";"temperate_dry";"boreal_dry"
"warm_temperate_moist";"temperate_moist","temperate_moist"
"cool_temperate_moist";"temperate_moist";"boreal_moist"
"boreal_moist";"temperate_moist";"boreal_moist"
"boreal_dry";"temperate_dry";"boreal_dry"
"polar_dry";"temperate_dry";"boreal_dry"
"polar_moist";"temperate_moist";"boreal_moist"
"tropical_montane";"tropical_moist";"tropical_moist"
"warm_temperate_dry";"temperate_dry";"temperate_dry"
